"participant","stimulus_audio","length_audio","stimulus_picture","response_time","accuracy","accuracy_num","condition","congruency","category"
"1419","schiff_correct",900,"Schiff",1912,"correct","1","FPM","congruent","Fortbewegungsmittel"
"1419","hobel_word",1300,"Meissel",848,"correct","1","WPM","incongruent","Werkzeug"
"1419","sofa_word",1310,"Sofa",697,"correct","1","WPM","congruent","Moebel"
"1419","weisskohl_word",1220,"Sellerie",2123,"correct","1","WPM","incongruent","Gemuese"
"1419","traktor_correct",1250,"Traktor",683,"correct","1","FPM","congruent","Fortbewegungsmittel"
"1419","kokosnuss_correct",1440,"Kokosnuss",1156,"incorrect","0","FPM","congruent","Fruechte"
"1419","spatz_word",1240,"Geier",972,"correct","1","WPM","incongruent","Voegel"
"1419","spatz_correct",1150,"Spatz",860,"incorrect","0","FPM","congruent","Voegel"
"1419","kirsche_word",1210,"Kirsche",589,"correct","1","WPM","congruent","Fruechte"
"1419","kiwi_incorrect",1140,"Kiwi",892,"correct","1","FPM","incongruent","Fruechte"
"1419","schrank_correct",1430,"Schrank",888,"correct","1","FPM","congruent","Moebel"
"1419","flugzeug_word",1010,"Flugzeug",716,"correct","1","WPM","congruent","Fortbewegungsmittel"
"1419","kommode_correct",870,"Kommode",872,"correct","1","FPM","congruent","Moebel"
"1419","kanu_incorrect",1360,"Kanu",953,"correct","1","FPM","incongruent","Fortbewegungsmittel"
"1419","eichhoernchen_incorrect",1030,"Eichhoernchen",975,"correct","1","FPM","incongruent","Saeugetiere"
"1419","eule_correct",1670,"Eule",875,"correct","1","FPM","congruent","Voegel"
"1419","bueffel_correct",1390,"Bueffel",1732,"correct","1","FPM","congruent","Saeugetiere"
"1419","biber_word",1290,"Kamel",904,"correct","1","WPM","incongruent","Saeugetiere"
"1419","fahrrad_incorrect",1040,"Fahrrad",777,"incorrect","0","FPM","incongruent","Fortbewegungsmittel"
"1419","hubschrauber_incorrect",1330,"Hubschrauber",937,"correct","1","FPM","incongruent","Fortbewegungsmittel"
"1419","dattel_word",1130,"Ananas",2593,"correct","1","WPM","incongruent","Fruechte"
"1419","taxi_word",940,"Schlitten",954,"correct","1","WPM","incongruent","Fortbewegungsmittel"
"1419","feile_word",1290,"Feile",995,"correct","1","WPM","congruent","Werkzeug"
"1419","fledermaus_incorrect",920,"Fledermaus",919,"correct","1","FPM","incongruent","Saeugetiere"
"1419","ananas_correct",1110,"Ananas",1049,"incorrect","0","FPM","congruent","Fruechte"
"1419","hocker_word",980,"Regal",1376,"correct","1","WPM","incongruent","Moebel"
"1419","pinguin_incorrect",1190,"Pinguin",754,"correct","1","FPM","incongruent","Voegel"
"1419","eichhoernchen_word",930,"Eichhoernchen",1397,"correct","1","WPM","congruent","Saeugetiere"
"1419","wiege_word",1210,"Wiege",675,"correct","1","WPM","congruent","Moebel"
"1419","hocker_correct",1220,"Hocker",1006,"incorrect","0","FPM","congruent","Moebel"
"1419","drehstuhl_word",1220,"Drehstuhl",1160,"correct","1","WPM","congruent","Moebel"
"1419","zitrone_incorrect",1330,"Zitrone",1136,"correct","1","FPM","incongruent","Fruechte"
"1419","feile_incorrect",1170,"Feile",2274,"correct","1","FPM","incongruent","Werkzeug"
"1419","dattel_correct",1170,"Dattel",2524,"correct","1","FPM","congruent","Fruechte"
"1419","rollschuh_incorrect",1000,"Rollschuh",1309,"correct","1","FPM","incongruent","Fortbewegungsmittel"
"1419","gans_word",1400,"Gans",1027,"correct","1","WPM","congruent","Voegel"
"1419","mais_incorrect",1330,"Mais",1538,"correct","1","FPM","incongruent","Gemuese"
"1419","tiger_correct",1220,"Tiger",1300,"correct","1","FPM","congruent","Saeugetiere"
"1419","spargel_incorrect",1150,"Spargel",1182,"incorrect","0","FPM","incongruent","Gemuese"
"1419","sessel_correct",1170,"Sessel",1703,"correct","1","FPM","congruent","Moebel"
"1419","taxi_correct",1250,"Taxi",1392,"correct","1","FPM","congruent","Fortbewegungsmittel"
"1419","schlitten_correct",970,"Schlitten",1146,"incorrect","0","FPM","congruent","Fortbewegungsmittel"
"1419","banane_word",1150,"Banane",807,"correct","1","WPM","congruent","Fruechte"
"1419","truhe_word",1150,"Truhe",710,"correct","1","WPM","congruent","Moebel"
"1419","kanu_word",1130,"Kanu",820,"correct","1","WPM","congruent","Fortbewegungsmittel"
"1419","geier_correct",980,"Geier",1026,"incorrect","0","FPM","congruent","Voegel"
"1419","reiher_word",1220,"Reiher",1028,"correct","1","WPM","congruent","Voegel"
"1419","mantel_correct",990,"Mantel",1741,"incorrect","0","FPM","congruent","Kleidung"
"1419","aprikose_word",1220,"Aprikose",1401,"correct","1","WPM","congruent","Fruechte"
"1419","paprika_incorrect",1180,"Paprika",1130,"correct","1","FPM","incongruent","Gemuese"
"1419","meise_correct",1150,"Meise",1928,"correct","1","FPM","congruent","Voegel"
